,cow_code,state_name,year,num_trade_states,export_dollars,import_dollars,military_expenditure,military_personnel,prim_energy_consumption,total_pop,cinc_score,num_alliances,pre_1816_alliances,num_in_effect_1231_2012,defense_treaties,neutrality_treaties,nonaggression_treaties,entente_treaties,num_conflicts,avg_cum_duration,num_wars,ongoing_2010,revision_pct,avg_hostility_level,majority_religion,un_region,un_continent,election_type,legislation_type,legislature_status,party_legal_status,party_existance,party_existance_outside_regime,legislature_parties,incumbent_type,collective_leadership,num_leadership_changes,leader_tenure,military_leader,royal_leader,nominal_vs_eff_diff,communist_leader,leader_died,democratic_regime,cabinet_assembly,popular_election,regime_type,transition_to_democracy,transition_to_dictatorship,age_govt,num_transitions_ever
19,90,Guatemala,1946,65.0,,,3366000.0,20000.0,10000000.0,2500000.0,0.0006877999999999999,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Central America,Americas,Direct election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,2,No,No,No,No,No,Yes,No,Yes,Presidential democracy,No,No,2.0,0
20,70,Mexico,1946,65.0,,,52037000.0,61000.0,21910000000.0,22780000.0,0.0071205,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Central America,Americas,Direct election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,1,1,No,No,No,No,No,No,No,Yes,Civilian dictatorship,No,No,77.0,0
21,790,Nepal,1946,65.0,,,,20000.0,0.0,7333000.0,0.001235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Hindu,Southern Asia,Asia,Nonelective,No legislature exists,Closed,Multiple parties legally allowed,One party,One party outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,2,No,No,Yes,No,No,No,No,No,Civilian dictatorship,No,No,24.0,0
22,800,Thailand,1946,65.0,,,6996000.0,44000.0,8000000.0,17710000.0,0.0038775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6876712328767123,0.0,0.0,0.0,4.0,Buddhism,South-Eastern Asia,Asia,Nonelective,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,3,1,Yes,No,No,No,No,No,No,No,Military dictatorship,No,No,77.0,0
23,840,Philippines,1946,65.0,,,17313000.0,0.0,130000000.0,18434000.0,0.0034625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,South-Eastern Asia,Asia,Direct election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,1,1,No,No,No,No,No,Yes,No,Yes,Presidential democracy,No,No,1.0,0
24,900,Australia,1946,65.0,,,1032619000.0,103000.0,41020000000.0,7465000.0,0.010583799999999999,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Australia and New Zealand,Oceania,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,2,No,No,No,No,No,Yes,Yes,No,Parliamentary democracy,No,No,46.0,0
25,42,Dominican Republic,1946,65.0,,,3856000.0,7000.0,10000000.0,2030000.0,0.00045089999999999996,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Caribbean,Americas,Nonelective,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Only members from regime party,Democratic incumbent,No,0,5,Yes,No,No,No,No,No,No,No,Military dictatorship,No,No,17.0,0
26,920,New Zealand,1946,65.0,,,153526000.0,,4434000000.0,1784000.0,0.0011930999999999999,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Australia and New Zealand,Oceania,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,7,No,No,No,No,No,Yes,Yes,No,Parliamentary democracy,No,No,40.0,0
27,41,Haiti,1946,65.0,,,1940000.0,5000.0,0.0,3140000.0,0.0005155,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Caribbean,Americas,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Rules rewritten unconstitutionally,No,2,1,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,77.0,0
28,223,Liechtenstein,1946,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Western Europe,Europe,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,2,No,No,No,No,No,Yes,Yes,No,Parliamentary democracy,No,No,77.0,0
29,40,Cuba,1946,65.0,,,,18000.0,162000000.0,5040000.0,0.00215,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Caribbean,Americas,Direct election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,14,Yes,No,Yes,No,No,Yes,No,Yes,Presidential democracy,No,No,11.0,0
30,305,Austria,1946,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Western Europe,Europe,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,1,2,No,No,No,No,No,Yes,Yes,No,Mixed (semi‐presidential) democracy,No,No,2.0,1
31,712,Mongolia,1946,65.0,,,,,36000000.0,757000.0,0.00012930000000000003,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Non-Religious,Eastern Asia,Asia,Nonelective,Non‐elective legislature,Elected,Legally single party state,One party,One party outside regime,Only members from regime party,Democratic incumbent,No,0,7,No,No,Yes,Yes,No,No,No,No,Civilian dictatorship,No,No,26.0,0
32,645,Iraq,1946,65.0,,,21604000.0,51000.0,13380000000.0,4803000.0,0.0021282,12.0,0.0,4.0,1.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,Islam,Western Asia,Asia,Nonelective,No legislature exists,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,8,No,Yes,Yes,No,No,No,No,No,Royal dictatorship,No,No,15.0,0
33,145,Bolivia,1946,65.0,,,7052000.0,9000.0,168000000.0,2880000.0,0.0006997,21.0,0.0,2.0,19.0,1.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,South America,Americas,Nonelective,No legislature exists,Closed,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,1,1,Yes,No,Yes,No,No,No,No,No,Military dictatorship,No,No,77.0,0
34,640,Turkey,1946,65.0,,,278779000.0,689000.0,5494000000.0,19074000.0,0.0114336,4.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.8383561643835616,0.0,0.0,0.0,3.0,Islam,Western Asia,Asia,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,9,Yes,No,No,No,No,No,No,No,Military dictatorship,No,No,24.0,0
35,360,Romania,1946,65.0,2100000.0,1000000.0,61522000.0,114000.0,18214000000.0,15790000.0,0.005016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Eastern Europe,Europe,Nonelective,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Rules rewritten unconstitutionally,No,0,2,No,No,Yes,Yes,No,No,No,No,Civilian dictatorship,No,No,2.0,0
36,350,Greece,1946,65.0,,1310000.0,95622000.0,120000.0,856000000.0,7400000.0,0.0030764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8383561643835616,0.0,0.0,0.0,4.0,Christianity,Southern Europe,Europe,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,2,1,No,No,No,No,No,Yes,Yes,No,Parliamentary democracy,Yes,No,1.0,1
37,365,Russia,1946,65.0,11500000.0,10200000.0,8764724000.0,2500000.0,359564000000.0,174000000.0,0.1225411,10.0,0.0,0.0,9.0,2.0,1.0,4.0,5.0,0.473972602739726,0.0,0.0,0.8,3.2,Non-Religious,Eastern Europe,Europe,Nonelective,Elective legislature,Elected,Legally single party state,One party,One party outside regime,Only members from regime party,Democratic incumbent,No,0,25,No,No,No,Yes,No,No,No,No,Civilian dictatorship,No,No,31.0,0
38,375,Finland,1946,65.0,,,106038000.0,42000.0,3026000000.0,3900000.0,0.0016382999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Northern Europe,Europe,Direct election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,1,1,No,No,No,No,No,Yes,Yes,Yes,Mixed (semi‐presidential) democracy,No,No,3.0,0
39,345,Yugoslavia,1946,65.0,,,301243000.0,159000.0,7904000000.0,15186000.0,0.0053408,4.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,0.03287671232876712,0.0,0.0,0.0,4.0,Christianity,Southern Europe,Europe,Nonelective,Elective legislature,Elected,Legally single party state,One party,One party outside regime,Only members from regime party,Democratic incumbent,No,0,7,No,No,No,Yes,No,No,No,No,Civilian dictatorship,No,No,17.0,1
40,380,Sweden,1946,65.0,,,227619000.0,,16650000000.0,6720000.0,0.0059234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Northern Europe,Europe,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,1,1,No,No,No,No,No,Yes,Yes,No,Parliamentary democracy,No,No,29.0,0
41,385,Norway,1946,65.0,,,125392000.0,33000.0,7486000000.0,3107000.0,0.0016512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Northern Europe,Europe,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,2,No,No,No,No,No,Yes,Yes,No,Parliamentary democracy,No,No,62.0,0
42,339,Albania,1946,65.0,,,11946000.0,60000.0,402000000.0,1138000.0,0.0007928999999999999,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.6698630136986301,0.0,0.0,0.0,4.0,Islam,Southern Europe,Europe,Nonelective,Elective legislature,Elected,Legally single party state,One party,One party outside regime,Only members from regime party,Democratic incumbent,No,0,3,Yes,No,No,Yes,No,No,No,No,Military dictatorship,No,No,35.0,0
43,390,Denmark,1946,65.0,,,52389000.0,14000.0,14392000000.0,4100000.0,0.0021046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Northern Europe,Europe,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,2,No,No,No,No,No,Yes,Yes,No,Parliamentary democracy,No,No,46.0,0
44,395,Iceland,1946,65.0,,,0.0,0.0,24000000.0,132000.0,1.58e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Northern Europe,Europe,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,3,No,No,No,No,No,Yes,Yes,Yes,Mixed (semi‐presidential) democracy,No,No,3.0,0
45,325,Italy,1946,65.0,,,213807000.0,260000.0,18536000000.0,45380000.0,0.01829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Southern Europe,Europe,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,2,No,No,No,No,No,Yes,Yes,No,Parliamentary democracy,Yes,No,1.0,1
46,315,Czechoslovakia,1946,65.0,,,379912000.0,250000.0,53190000000.0,12920000.0,0.0110354,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Eastern Europe,Europe,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Rules rewritten unconstitutionally,No,1,1,No,No,No,Yes,No,No,No,No,Civilian dictatorship,No,Yes,1.0,1
47,310,Hungary,1946,65.0,10200000.0,11500000.0,105863000.0,18000.0,10648000000.0,9042000.0,0.0035614000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Eastern Europe,Europe,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Rules rewritten unconstitutionally,No,0,2,No,No,Yes,Yes,No,No,No,No,Civilian dictatorship,No,No,2.0,0
48,450,Liberia,1946,65.0,,,,5000.0,2000000.0,664000.0,0.0001518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Western Africa,Africa,Direct election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Only members from regime party,Democratic incumbent,No,0,3,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,77.0,0
49,290,Poland,1946,65.0,,,2638901000.0,132000.0,97230000000.0,23958000.0,0.0172908,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Eastern Europe,Europe,Nonelective,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,1,1,No,No,Yes,Yes,No,No,No,No,Civilian dictatorship,No,No,2.0,1
50,235,Portugal,1946,65.0,,,48569000.0,,3156000000.0,8120000.0,0.0024149,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Southern Europe,Europe,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Only members from regime party,Democratic incumbent,No,0,15,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,15.0,1
51,230,Spain,1946,65.0,14.4,160000000.0,132662000.0,462000.0,25676000000.0,27020000.0,0.015372,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Southern Europe,Europe,Nonelective,Non‐elective legislature,Appointed,Legally single party state,One party,One party outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,8,Yes,No,No,No,No,No,No,No,Military dictatorship,No,No,10.0,1
52,150,Paraguay,1946,65.0,,,3425000.0,4000.0,6000000.0,1280000.0,0.0003389,20.0,0.0,1.0,19.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,South America,Americas,Direct election,No legislature exists,Closed,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,7,Yes,No,No,No,No,No,No,No,Military dictatorship,No,No,11.0,0
53,630,Iran,1946,65.0,,,33723000.0,101000.0,2970000000.0,15408000.0,0.0045245,5.0,0.0,0.0,2.0,0.0,3.0,5.0,2.0,0.2410958904109589,0.0,0.0,0.0,1.0,Islam,Southern Asia,Asia,Nonelective,No legislature exists,Closed,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,6,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,77.0,0
54,155,Chile,1946,65.0,,,56849000.0,34000.0,4174000000.0,5640000.0,0.0020726,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,South America,Americas,Direct election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,3,1,No,No,No,No,No,Yes,No,Yes,Presidential democracy,No,No,15.0,1
55,160,Argentina,1946,65.0,72810000.0,207320000.0,255555000.0,62000.0,13272000000.0,15650000.0,0.0085098,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,South America,Americas,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,1,1,Yes,No,No,No,No,Yes,No,Yes,Presidential democracy,Yes,No,1.0,1
56,165,Uruguay,1946,65.0,,,10531000.0,6000.0,86000000.0,2100000.0,0.0009089,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,South America,Americas,Direct election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,4,No,No,No,No,No,Yes,No,Yes,Presidential democracy,No,No,5.0,0
57,200,United Kingdom,1946,65.0,207320000.0,72810000.0,17753616000.0,2053000.0,429792000000.0,49217000.0,0.11617269999999999,7.0,1.0,1.0,7.0,0.0,1.0,5.0,4.0,0.12808219178082192,0.0,0.0,0.0,3.25,Christianity,Northern Europe,Europe,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,2,No,No,No,No,No,Yes,Yes,No,Parliamentary democracy,No,No,36.0,0
58,740,Japan,1946,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Shinto,Eastern Asia,Asia,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,4,Yes,No,No,No,No,Yes,Yes,No,Parliamentary democracy,No,No,1.0,0
